attribute_id,project,risk,rationale
htan:LibraryPreparationKitVendor,HTAN,Low,Vendor of library preparation kit is non-personal technical metadata (instrument/reagent manufacturer). It does not identify individuals or sensitive attributes and contains no quasi-identifiers; therefore classified as Low risk.
btc:LibraryPreparationKitVersion,BTC,Low,Describes a technical laboratory reagent/configuration (library preparation kit version). This is non-personal technical metadata (string) that does not identify individuals or provide quasi-identifiers; therefore classified as Low risk.
htan2:LibraryPreparationKitVersion,HTAN2,Low,"This is technical laboratory metadata describing the version of the library preparation kit used. It is non-personal, non-identifying technical information about reagents/procedures and does not reveal individual identity or sensitive attributes."
htan:LibraryPreparationKitVersion,HTAN,Low,"This is technical assay metadata (the version of the library preparation kit) that describes laboratory reagent/software version. It does not contain personal identifiers, quasi-identifiers, location, financial, or clinical details and therefore poses low re-identification or sensitivity risk."
el:LibraryPreparationMethod,EL,Low,"Describes a laboratory technical detail (method used to prepare sequencing/library); it is non-personal technical metadata and does not reveal identity, contact, location, or sensitive clinical information."
btc:LibrarySelectionMethod,BTC,Low,"Describes the laboratory method used to isolate RNA molecules (e.g., polyA selection, rRNA depletion). This is technical sample-processing metadata without personal identifiers, sensitive clinical details, or cohort/individual linkage information."
gf:LibrarySelectionMethod,GF,Low,"Describes a laboratory protocol for isolating RNA (library selection method). This is technical experimental metadata (sample processing) rather than any personal identifier or quasi-identifier, so it poses low re-identification/sensitivity risk."
htan2:LibrarySelectionMethod,HTAN2,Low,Describes a technical laboratory method (how RNA molecules are isolated) used in library preparation. This is non-personal experimental metadata and does not directly identify individuals or provide quasi-identifiers.
htan:LibrarySelectionMethod,HTAN,Low,"Describes a laboratory protocol for isolating RNA (technical experimental metadata). It contains no personal identifiers or quasi-identifiers and does not reveal sensitive clinical, location, or contact information, so re-identification risk is minimal."
btc:LibraryStrand,BTC,Low,Library stranded-ness is a technical sequencing library property (protocol metadata) that does not reveal identity or sensitive personal information; it is non-personal technical metadata and poses low re-identification risk.
htan2:LibraryStrand,HTAN2,Low,"Library stranded-ness is technical sequencing metadata (whether the library is stranded or not). It does not reveal personal identity, cohort, or sensitive information and is non-personal instrument/sample prep metadata."
htan:LibraryStrand,HTAN,Low,"Library stranded-ness is a technical sequencing library property (strand-specific vs. unstranded). It conveys assay preparation details and contains no personal identifiers, demographics, or context that would materially increase re-identification risk."
nf-osi:LibraryStrand,NF-OSI,Low,"Library strandedness is a technical sequencing/library preparation parameter used for RNA-seq analysis. It is non-personal technical metadata and does not reveal identity, contact, location, or sensitive clinical information."
el:LibraryVersion,EL,Low,"LibraryVersion describes a technical attribute of sequencing/library preparation (e.g., rnaSeq 10x library version). It is non-personal technical metadata that does not identify individuals or provide quasi-identifiers, so it is low sensitivity."
nf-osi:License,NF-OSI,Low,"This is legal/usage metadata describing the license or access restrictions for the data (e.g., UNKNOWN or RESTRICTED-USE). It does not contain personal identifiers or quasi-identifiers and does not aid re-identification, so it is classified as Low sensitivity."
htan2:LigationCondition,HTAN2,Low,"Describes laboratory reagent (ligase name) and experimental condition for proximity ligation — technical protocol metadata not tied to individual identity, health, or sensitive attributes; therefore classified as low sensitivity."
htan:LigationCondition,HTAN,Low,This attribute captures experimental/technical metadata (the ligase enzyme name and reaction conditions for proximity ligation). It does not contain personal identifiers or quasi-identifiers and therefore represents non-personal technical information.
gf:LinkedMatrices,GF,NeedsReview,Description is 'TBD' and there are no validation_rules or valid_values; scope and content are unknown so sensitivity cannot be determined and the attribute requires further review.
htan2:LoopCalling,HTAN2,Low,"This is technical metadata describing the software/tool used to identify loop interactions (analytical method), not personal, demographic, or identifiable information; thus it is non-personal technical metadata."
htan:LoopCalling,HTAN,Low,"Describes a technical analysis/tool used to identify loop interactions (analysis pipeline metadata). Contains no personal identifiers, quasi-identifiers, or sensitive clinical/financial data; purely technical metadata with no validation rules or values provided."
htan2:LoopWindow,HTAN2,Low,"LoopWindow is a technical analysis parameter (binning size for calling significant dot interactions/loops) related to data processing; it does not convey personal, identifiable, or sensitive clinical information and is therefore low risk."
htan:LoopWindow,HTAN,Low,"This is a technical analysis parameter (binning size for calling loop interactions). It is non-personal technical metadata related to data processing and does not reveal identities, locations, or sensitive attributes."
gf:Lot,GF,NeedsReview,"Description is 'TBD' with no validation rules or valid values. Scope and content are unclear (could be batch/lot number, specimen ID, or contain identifiers), so insufficient information to classify—requires review."
htan2:LowMapQ,HTAN2,Low,Technical sequencing quality metric (count of read-pairs with mapping quality <30). This is non-personal technical metadata related to read alignment and does not directly identify individuals or reveal sensitive clinical/ demographic information.
htan:LowMapQ,HTAN,Low,"This is a sequencing quality metric (count of read-pairs with mapping quality <30). It is technical, non-personal metadata about data quality and does not directly or indirectly identify individuals, so it is Low sensitivity."
htan2:MACS2FoldChange,HTAN2,Low,"MACS2FoldChange is a technical QC/analysis metric (fold enrichment of a peak summit from MACS2) describing signal strength in sequencing data. It contains no personal identifiers, demographic or cohort information and is non-sensitive technical metadata."
htan:MACS2FoldChange,HTAN,Low,"This is a technical assay-derived metric (fold enrichment of a genomic peak from MACS2). It contains no direct or quasi-identifying personal information and is non-sensitive technical metadata used to describe signal strength, so classification is Low."
htan2:MACS2NegLog10qvalueSummit,HTAN2,Low,"This is a technical peak-calling metric (negative log10 q-value for MACS2 peak summit) describing signal significance. It does not contain personal identifiers, demographic or clinical information and is non-personal technical metadata."
htan:MACS2NegLog10qvalueSummit,HTAN,Low,"This is a technical analytical metric (negative log10 q-value from MACS2 peak calling) describing peak significance. It is non-identifying technical metadata and does not convey personal identifiers, locational, or sensitive clinical information."
htan2:MACS2Score,HTAN2,Low,"MACS2Score is a technical numeric output from peak-calling (peak score proportional to q-value). It does not contain direct identifiers, quasi-identifiers, or sensitive personal information and therefore is non-personal technical metadata."
htan2:MACS2Seqnames,HTAN2,Low,"Chromosome id (e.g., chr1, chrX) is technical genomic location metadata and does not directly identify individuals or convey sensitive personal/clinical information; therefore classified as low risk."
htan:MACS2Seqnames,HTAN,Low,"Attribute denotes chromosome identifier (e.g., chr1, chrX) — technical genomic metadata about sequence location rather than personal identifiers or sensitive clinical data. No validation rules or values provided; does not directly enable re-identification."
htan2:MACS2Strand,HTAN2,Low,"Indicates a technical processing parameter (DNA strand used in MACS2 alignment). It is non-identifying technical metadata about analysis settings rather than personal, demographic, or specimen identifiers."
htan2:MERFISHCodebookFile,HTAN2,Low,"This is a technical auxiliary file that maps MERFISH bit groupings to gene names (instrument/assay codebook). It contains assay/experiment mapping information rather than personal identifiers, quasi-identifiers, or sensitive clinical/financial data, so it constitutes non-personal technical metadata."
htan:MERFISHCodebookFile,HTAN,Low,"This is an experimental/technical auxiliary file mapping MERFISH bit groupings to gene names. It contains assay encoding information and gene labels, not personal identifiers, longitudinal/cohort markers, or individual-level clinical/financial data—therefore non-personal technical metadata."
htan2:MS-basedTargeted,HTAN2,Low,"Describes the assay target (which molecules are being measured, e.g., lipids). This is technical assay metadata (analytical/experimental detail) with no personal identifiers, quasi-identifiers, or sensitive clinical/financial information."
htan:MS-basedTargeted,HTAN,Low,"Describes assay-level technical metadata (which molecules are targeted, e.g., lipids) and does not contain personal identifiers or quasi-identifiers. No indication it could directly enable re-identification."
htan2:MSAssayCategory,HTAN2,Low,"Describes the technical type of mass spectrometry performed (assay category). This is non-personal laboratory/technical metadata and does not reveal individual identity, contact, location, or sensitive clinical information."
htan:MSAssayCategory,HTAN,Low,"Describes a technical assay characteristic (type of mass spectrometry). This is non-personal technical metadata about the experimental method, not an identifier or sensitive clinical/demographic information."
htan2:MSBatchID,HTAN2,Moderate,"Batch identifier for samples run together (mass-spec batch). Not a direct personal identifier but is a quasi-identifier that can enable linkage across datasets or correlation with other sample metadata, increasing re-identification risk."
htan:MSBatchID,HTAN,Moderate,"Batch ID groups samples run together and does not directly identify an individual, but is a quasi-identifier/cohort-processing marker that can aid linkage or re-identification and reveal sensitive study structure or technical confounders, so it warrants moderate sensitivity."
htan:MSIStatus,HTAN,High,"MSIStatus is a clinical/genomic biomarker (microsatellite stability vs instability) indicating tumor biology and disease-related information. As sensitive health/genomic data that can affect clinical interpretation and privacy, it should be treated as high sensitivity."
htan2:MSIWorkflowLink,HTAN2,Low,A URL linking to the methodological workflow/command is technical metadata about analytical methods (non-personal). It does not contain direct identifiers or quasi-identifiers and thus poses low re-identification/privacy risk.
htan:MSIWorkflowLink,HTAN,Low,"This attribute is a URL linking to the method workflow or command used to estimate MSI — technical/analytical metadata about processing methods. It does not itself contain personal identifiers or sensitive clinical data, so it is classified as low risk."
htan2:MSInstrumentMetadataFile,HTAN2,Low,"Describes an additional file containing instrument metadata (MS instrument details). This is technical, non-personal metadata (instrument model/settings/parameters) and does not directly identify individuals or contain sensitive clinical/financial data; therefore classified as Low risk."
htan2:MSInstrumentVendorandModel,HTAN2,Low,Vendor and model of the mass-spectrometry (MS) acquisition instrument — technical device metadata about signal detection hardware/software. This is non-personal technical metadata and does not directly or indirectly identify individuals.
htan:MSInstrumentVendorandModel,HTAN,Low,Vendor and model of the mass-spectrometry instrument are technical acquisition metadata (device type) and do not identify individuals or reveal sensitive personal/clinical information. No serial/location or participant linkage is specified.
htan2:MSLabeling,HTAN2,Low,"Describes a laboratory sample preparation parameter (whether samples were labeled prior to mass spectrometry, e.g., TMT). This is technical processing metadata and does not reveal personal identity or sensitive clinical/demographic information, so it poses low re-identification risk."
htan:MSLabeling,HTAN,Low,"Describes a technical sample preparation detail (whether samples were labeled for mass spectrometry, e.g., TMT). This is non-personal assay metadata and does not identify individuals or provide quasi-identifiers, so re-identification risk is low."
htan2:MSScanMode,HTAN2,Low,MSScanMode describes a technical instrument acquisition parameter (MS vs MS/MS/MS3). It is non-personal technical metadata about experiment setup and does not identify individuals or sensitive attributes.
htan:MSScanMode,HTAN,Low,"This is instrument/experiment technical metadata indicating mass spectrometry scan type (MS, MS/MS, MS3). It contains no personal identifiers, quasi-identifiers, or sensitive clinical/behavioral information and therefore is non-personal technical metadata."
htan2:MSSource,HTAN2,Low,"Describes technical instrument parameter (ion source type: MALDI, MALDI-2, DESI, SIMS, nESI) used for data acquisition. This is non-personal technical metadata and does not reveal individual identity or sensitive information."
htan:MSSource,HTAN,Low,"Describes the instrument ion source type (MALDI, MALDI-2, DESI, SIMS, nESI) — purely technical experimental metadata about data acquisition methods, not linked to individual identity or sensitive personal information."
htan2:MapQ30,HTAN2,Low,"This is a sequencing quality metric (count of reads with quality >=30), a technical QC value unrelated to personal identity or demographics. It does not constitute an identifier or quasi-identifier and poses low re-identification risk."
htan:MapQ30,HTAN,Low,This is a technical sequencing QC metric (count of reads with quality >=30). It conveys non-personal technical information about data quality/depth and does not directly identify individuals or reveal sensitive clinical/ demographic information.
htan2:MassRangeHighValue,HTAN2,Low,"This is an instrument parameter (MS1 scanned mass range upper bound in m/z), non-personal technical metadata about the mass spectrometry acquisition settings and does not reveal or identify individuals."
htan:MassRangeHighValue,HTAN,Low,"This is an instrument acquisition parameter (the upper m/z bound of the MS1 scanned mass range). It is non-personal technical metadata related to instrument settings and does not reveal identity, contact, location, financial, or sensitive clinical/behavioral information."
htan2:MassRangeLowValue,HTAN2,Low,"This is a technical instrument acquisition parameter (MS1 low m/z bound) describing mass spectrometer scan settings. It does not contain personal, identifying, or sensitive clinical information and is non-personal technical metadata."
htan:MassRangeLowValue,HTAN,Low,This describes a technical instrument parameter (MS1 scanned mass range low m/z value) for mass spectrometry. It is non-personal technical metadata and does not identify individuals or sensitive attributes.
htan2:MatchedSpatialBarcodeTag,HTAN2,Low,"This is a technical SAM/BAM tag name indicating which field contains the spatial spot barcode (e.g., CB:Z). It conveys file-format/processing metadata only and does not contain personal identifiers or quasi-identifiers."
gf:MatrixType,GF,NeedsReview,"Description is 'TBD' with no validation rules or valid values provided. Scope and content are unclear, so sensitivity cannot be determined—requires further information to classify."
htan:MatrixType,HTAN,Low,"Describes the type of data contained in a matrix (technical metadata). It does not contain personal identifiers, quasi-identifiers, or sensitive clinical information; therefore it is low-sensitivity operational metadata."
htan2:MeanReadsperSpatialSpot,HTAN2,Low,"This is an aggregate technical sequencing metric (mean reads per spatial spot across barcodes, including reads outside tissue). It conveys no direct identifiers, precise locations, or sensitive personal data and is standard non-personal technical metadata, so low re-identification risk."
htan:MeanReadsperSpatialSpot,HTAN,Low,This is a technical sequencing metric (average reads per spatial spot) reflecting assay performance rather than any direct or quasi-identifying personal information. It is non-personal technical metadata appropriate for a Low sensitivity classification.
el:MeasurementTechnique,EL,Low,"Describes the assay/measurement method (technical metadata). It conveys experimental technique, not personal identifiers or sensitive clinical/financial information, so it is low sensitivity."
htan2:MedianFractionofReadsinPeaks,HTAN2,Low,"FRIP (median fraction of reads in peaks) is a sequencing quality metric summarizing the proportion of reads overlapping called peaks. This is technical, non-identifying assay QC metadata and does not reveal personal identity, contact, location, financial, or clinical sensitive information."
htan:MedianFractionofReadsinPeaks,HTAN,Low,"Median fraction of reads in peaks (FRIP) is a technical sequencing quality metric (proportion of reads mapping to peaks) and does not convey personal identifiers, demographic or clinical information. It is non-personal technical metadata and poses low re-identification risk."
htan2:MedianNumberGenesperSpatialSpot,HTAN2,Low,This is a technical QC metric summarizing the median number of genes detected per spatial spot (presence >=1 UMI). It is non-identifying technical metadata about sequencing/library performance and does not contain personal identifiers or sensitive clinical information.
htan:MedianNumberGenesperSpatialSpot,HTAN,Low,"This is an aggregated technical/quality metric (median number of genes detected per spatial transcriptomics spot, defined by ≥1 UMI). It does not contain direct identifiers or quasi-identifiers and is non-personal technical metadata."
htan:MedianPercentageofMitochondrialReadsperNucleus,HTAN,Low,"This is a technical QC metric (median percent mitochondrial reads per nucleus) indicating sequencing contamination; it is non-identifying technical metadata and does not reveal personal identity, contact, precise location, financial, or sensitive clinical information."
htan:MedianUMICountsperSpot,HTAN,Low,"This is a technical/quality-control metric (median UMI counts per tissue-covered spot) summarizing sequencing depth. It contains no direct identifiers, quasi-identifiers, or sensitive personal/contextual information and poses low re-identification risk."
gf:MedianUMIsperCellNumber,GF,Low,"Numeric QC metric (median UMIs per cell) describing assay performance. It is technical/aggregate sample-level metadata, does not contain direct or quasi-identifiers or personal information."
gf:MetalIsotopeElement,GF,NeedsReview,"Description and valid values are TBD/none, and no validation rules provided. Insufficient information to determine whether this is non-personal technical metadata (Low) or contains sensitive/identifying content (Moderate/High). Needs review."
gf:MetalIsotopeMass,GF,NeedsReview,"Description is TBD and there are no validation rules or valid values provided. The attribute name could refer to non-identifying technical instrument data or to sample-specific chemical/biological measurements that might be sensitive; scope and granularity are unclear, so further information is required to classify risk."
el:Methods,EL,NeedsReview,"Description is 'TBD' and there are no validation rules or valid values provided. The scope and content of this attribute are unclear, so sensitivity cannot be determined without further information."
htan2:Micro-regionSeqPlatform,HTAN2,Low,"Describes the sequencing platform used for micro-regional RNA-seq — a technical, non-personal instrument/assay attribute. It does not directly identify individuals or reveal sensitive clinical or demographic information."
htan:Micro-regionSeqPlatform,HTAN,Low,"This describes the technical sequencing platform used for micro-regional RNA sequencing (instrument/software platform). It is non-personal technical metadata about experimental methods and does not reveal individual identities, sensitive clinical information, or quasi-identifiers."
htan2:MicroarrayLabel,HTAN2,Low,"Describes technical assay metadata (the type of label used in a microarray). Contains no personal identifiers, demographics, longitudinal or sensitive clinical information and thus poses low re-identification or privacy risk."
htan:MicroarrayLabel,HTAN,Low,"Describes a technical assay property (type of label used on a microarray). This is instrument/experimental metadata and does not reveal personal identity, demographics, or sensitive clinical information."
htan2:MicroarrayMolecule,HTAN2,Low,"Describes the type of molecule measured by a microarray (e.g., RNA, DNA, protein). This is technical assay metadata and does not reveal personal identity, contact, location, or sensitive clinical information."
htan:MicroarrayMolecule,HTAN,Low,"Describes the type of molecule measured by a microarray assay (technical experimental metadata). It does not contain personal identifiers, quasi-identifiers, or sensitive clinical/behavioral information, so it is non-identifying technical metadata."
htan2:MicroarrayPlatformID,HTAN2,Low,"This is a technical/public database identifier (NCBI GEO microarray platform ID) that references an array definition. It does not contain personal, clinical, location, or cohort-identifying information and therefore constitutes non-personal technical metadata."
htan:MicroarrayPlatformID,HTAN,Low,"This is a technical identifier (NCBI GEO microarray platform ID linking to array definition) describing the assay/platform, not linked to individuals or specimens and not personally identifiable—non-personal technical metadata."
htan2:MicroarrayValueDefinition,HTAN2,Low,"This attribute describes what a microarray measurement value signifies (semantic/technical definition of assay data). It contains non-personal technical metadata about the data type and is not an identifier, quasi-identifier, or sensitive clinical/financial information, so risk is Low."
htan:MicroarrayValueDefinition,HTAN,Low,"Describes the semantic meaning of a microarray data value (measurement/units/definition). This is technical metadata about data semantics, contains no personal identifiers or quasi-identifiers and does not enable re-identification."
gf:Microscope,GF,Low,Microscope manufacturer/model is technical instrument metadata (non-personal). It does not identify individuals or cohorts and poses minimal re-identification/privacy risk; therefore classified as Low sensitivity.
htan2:Microscope,HTAN2,Low,"Microscope manufacturer/model are technical instrument metadata about the experimental setup, not personal or identifiable information. This is non-personal technical metadata (instrument type) and does not reveal individual identity or sensitive attributes."
htan:Microscope,HTAN,Low,Microscope manufacturer/model is technical instrument metadata (non-personal). It does not identify individuals or provide quasi-identifiers; therefore it is low-sensitivity technical metadata.
el:ModelSystemType,EL,Low,"Describes the type of experimental model system (e.g., cell line, organoid, animal model). This is non-personal technical/study metadata and does not directly identify individuals or convey sensitive clinical/financial information."
el:ModificationParameters,EL,Low,"Describes technical analysis parameters for a search engine/peptide identification run (e.g., modification terms). This is non-personal technical metadata about data processing and does not reveal individual identity, contact, precise location, or sensitive clinical/behavioral information."
el:MsAssayTechnique,EL,Low,"Describes the mass spectrometry/proteomics assay technique (e.g., DDA) — technical experimental metadata about instruments/methods rather than any personal, demographic, location, or sensitive clinical information; therefore classified as non-personal technical metadata (Low)."
htan:MultiplexBarcode,HTAN,Low,"This is a technical sequencing/index barcode used for demultiplexing samples. It does not directly identify individuals or provide sensitive personal, location, financial, or clinical information; it is non-personal technical metadata."
htan:NFeaturePeaks,HTAN,Low,"This is a technical/quality metric (count of genomic peaks with reads) and does not directly identify an individual or provide sensitive personal, contact, or precise location data. It is non-personal technical metadata."
el:NewsRelease,EL,NeedsReview,Description is listed as 'TBD' with no validation rules or valid values provided; scope and content are unclear so sensitivity cannot be determined.
nf-osi:Nf1Genotype,NF-OSI,High,Contains individual genetic information (NF1 genotype) that can reveal a heritable disorder (neurofibromatosis type 1) and is potentially identifying and highly sensitive health data; no masking/constraints specified increases re-identification and privacy risk.
nf-osi:Nf2Genotype,NF-OSI,High,"This is individual-level genetic information (NF2 gene genotype) derived from a biospecimen. Genomic data can reveal disease risk and is potentially identifiable and highly sensitive, so it meets the High sensitivity category."
gf:NominalMagnification,GF,Low,"Instrument technical metadata describing microscope lens magnification (numeric, non-personal). Does not identify individuals or contain quasi-identifiers; considered non-personal technical metadata."
htan2:NominalMagnification,HTAN2,Low,"This is technical instrument metadata (lens magnification value, e.g., 60X), non-personal and not a quasi-identifier. It does not reveal identity, contact, location, or sensitive clinical information."
htan:NominalMagnification,HTAN,Low,"This is non-personal technical metadata describing the microscope lens magnification (instrument setting). It does not reveal identity, contact, location, financial, or sensitive clinical/behavioral information, so it is Low risk."
htan2:NormalizationMethod,HTAN2,Low,"Describes a data processing/normalization method (technical metadata). It does not contain personal identifiers, quasi-identifiers, or sensitive clinical/financial information; therefore it is non-personal technical metadata."
htan:NormalizationMethod,HTAN,Low,"Describes the data normalization process — a technical processing method rather than information about individuals. No direct or quasi-identifiers, sensitive clinical details, or cohort identifiers present, so it is non-personal technical metadata (Low)."
el:NucleAcidExt,EL,Low,"Describes a laboratory protocol or reference (SOP/link) for nucleic acid extraction—technical procedural metadata that does not contain personal identifiers, cohort markers, or sensitive clinical/financial information; therefore classified as non-personal technical metadata (Low)."
gf:NucleiBarcodeLength,GF,Low,"Describes a technical property of the assay (barcode length) rather than any person-level data. No identifiers, demographic, location, or sensitive clinical information present; thus it is non-personal technical metadata with low re-identification risk."
htan2:NucleiBarcodeLength,HTAN2,Low,"Describes a technical assay parameter (length of nuclei barcode). It contains no personal identifiers or quasi-identifiers and is non-personal experimental metadata, so sensitivity is low."
htan:NucleiBarcodeLength,HTAN,Low,"Technical assay parameter describing barcode length for nuclei labeling. Contains no personal identifiers, quasi-identifiers, or sensitive clinical/behavioral data; purely non-personal technical metadata."
htan2:NucleiPermeabilizationMethod,HTAN2,Low,"Describes laboratory protocol details (detergent and treatment conditions for nuclei permeabilization/crosslinking), which are technical experimental parameters rather than personal identifiers or quasi-identifiers; therefore non-personal technical metadata with low re-identification risk."
htan:NucleiPermeabilizationMethod,HTAN,Low,"Describes a laboratory protocol parameter (detergent and treatment conditions for nuclei permeabilization/crosslinking softening). This is technical experimental metadata not tied to individual identities or sensitive clinical/financial information, so it is low sensitivity."
htan:NucleosomeSignal,HTAN,Low,"This is a per-cell technical/quality metric (ratio of fragment size ranges indicating nucleosome signal) reflecting assay characteristics, not personal identifiers, demographics, or sensitive clinical data; it is non-personal technical metadata."
el:NumberContig,EL,Low,"This is a technical assembly metric (total number of contigs in a cleaned/submitted genome/SAG/MAG/UViG assembly). It does not identify individuals or contain sensitive personal, location, or clinical data and is standard non-personal technical metadata."
htan2:NumberofFOVs,HTAN2,Low,"This is a technical measurement (count of fields of view recorded on a flow cell) related to data acquisition, not linked to personal identity or demographics. It is non-personal technical metadata and does not constitute a quasi-identifier."
htan:NumberofFOVs,HTAN,Low,"This is technical experimental metadata (count of fields of view per sample on a flow cell). It does not contain identifiers, demographic or sensitive clinical information and is unlikely to aid re-identification."
htan2:NumberofFeatures,HTAN2,Low,"This is a non-personal technical metadata field (a numeric count of features/channels). It does not contain identifiers, quasi-identifiers, or sensitive clinical/financial data, so it presents low re-identification/privacy risk."
htan:NumberofFeatures,HTAN,Low,A technical count of features/channels in a dataset (non-personal instrument or file metadata). Does not identify individuals or provide quasi-identifiers; low sensitivity.
htan:NumberofObjects,HTAN,Low,"A simple numeric count of objects (e.g., cells) in a dataset. This is non‑personal, aggregate/technical metadata (file-level content descriptor) and does not directly identify individuals or provide sensitive clinical/financial information."
gf:Objective,GF,NeedsReview,"Description is only 'Objective' with no further details, valid values, or validation rules. Scope is ambiguous—could be non-personal study objective or an individual-level field—insufficient information to classify."
htan2:Objective,HTAN2,NeedsReview,"Description is only 'Objective' with no validation rules or valid values. Scope is unclear (could be personal/clinical objective or a non-sensitive study objective), so insufficient information to determine sensitivity."
htan:Objective,HTAN,NeedsReview,"Label and description both 'Objective' with no context, validation rules, or value constraints. Ambiguous whether this is a technical field (e.g., microscope objective) or a study/clinical identifier — insufficient information to classify sensitivity."
gf:OligoBarcodeLowerStrand,GF,NeedsReview,"Description is 'TBD' with no validation rules or valid values provided. The attribute purpose and whether it contains identifying, genomic, or technical information is unclear, so further review and clarification are required before classification."
gf:OligoBarcodeUpperStrand,GF,NeedsReview,"Description is TBD and there are no validation rules or valid values provided; attribute scope and whether it contains identifier or sensitive data is unclear, so further information is required to assess sensitivity."
btc:OverrepresentedSequences,BTC,Low,"This is a FASTQC metric state classification (e.g., PASS/WARN/FAIL) about sequencing QC. It is technical, non-personal metadata about data quality rather than any direct or quasi-identifying personal or clinical information."
htan2:OverrepresentedSequences,HTAN2,Low,This is a FASTQC technical QC metric (state classification such as pass/warn/fail) about sequence content/artifacts. It contains non-personal technical metadata about sequencing quality and does not identify individuals or sensitive attributes.
htan:OverrepresentedSequences,HTAN,Low,"FASTQC OverrepresentedSequences is a technical sequencing QC metric indicating frequently observed sequences (e.g., adapters/contaminants). It is non-personal, non-identifying instrument-level metadata and does not reveal individual identity or sensitive attributes."
nf-osi:PH,NF-OSI,Low,Numeric pH (0–14) is a chemical/technical measurement of samples and does not identify individuals or provide quasi-identifying information. It is non-personal technical metadata and therefore low sensitivity.
htan2:PUC19methylationratio,HTAN2,Low,"This is a technical QC metric describing methylation percentage of a plasmid control (pUC19), not linked to individuals or biospecimens and contains no identifiers or quasi-identifiers; it is non-personal technical metadata."
htan:PUC19methylationratio,HTAN,Low,This is a technical QC metric describing the methylation ratio (percentage) of a pUC19 control plasmid. It is non-personal assay control metadata and does not reveal individual identity or sensitive personal information.
htan2:PairsOnDiffCHR,HTAN2,Low,Technical sequencing/alignment metric (integer count of read pairs mapping to different chromosomes from samtools). Non-personal instrument/software-derived metadata; does not reveal identity or sensitive clinical/behavioral information.
htan:PairsOnDiffCHR,HTAN,Low,"Integer count of read pairs mapping to different chromosomes (samtools output) — a technical sequencing/alignment QC metric. Contains no direct identifiers, quasi-identifiers, or sensitive clinical/biological information; low sensitivity."
htan2:PanelName,HTAN2,Low,Panel name describes assay/gene or protein panel used (instrument/catalog name) and does not contain personal identifiers or quasi-identifiers. This is technical/assay metadata rather than subject-level sensitive information.
htan2:Parameterfile,HTAN2,Low,"This is a technical metadata field (path to a Synapse text file containing algorithm version numbers and analysis parameters) used for reproducibility. It does not contain direct identifiers, biospecimen IDs, or sensitive personal/clinical information, so it is low sensitivity."
nf-osi:ParentSpecimenID,NF-OSI,Moderate,A unique biospecimen identifier (non-PII) can link samples and datasets and aid re-identification or cross-referencing of individuals; fits the description of a quasi-identifier/biospecimen ID and is therefore Moderate risk.
gf:ParticipantID,GF,High,Direct identifier: an ID associated with a patient is a personal identifier that can directly identify or link to individuals; no masking or validation rules provided to reduce re-identification risk.
htan2:PassedFilters,HTAN2,Low,"This is a technical QC metric (count of non-duplicate usable read-pairs/fragments) about sequencing data. It contains no direct identifiers or quasi-identifiers and does not reveal sensitive personal, location, or clinical information, so it is Low sensitivity."
htan:PassedFilters,HTAN,Low,"This is a technical sequencing QC metric (count of non-duplicate usable read-pairs/fragments). It contains no personal identifiers or quasi-identifiers and does not convey sensitive clinical, location, or contact information, so it is low risk."
htan:PassedQC,HTAN,Low,"This is a technical QC flag indicating whether channels passed quality control (with optional free-text comment). It conveys non-identifying technical metadata about data quality rather than personal identifiers, demographics, location, or sensitive clinical information, so risk is Low."
el:PcrCycles,EL,Low,"Technical laboratory parameter describing number of PCR cycles used to amplify DNA fragments. This is non-personal experimental metadata (instrument/process setting) that does not identify individuals or provide quasi-identifiers, so sensitivity is low."
htan2:PctReadsinPeaks,HTAN2,Low,This is a technical QC metric (percentage of sequencing reads falling in peak regions) and does not contain direct or quasi-identifying information about individuals. It is non-personal technical metadata and presents low re-identification risk.
htan:PctReadsinPeaks,HTAN,Low,"This is a technical sequencing quality metric (percentage of reads in peaks), which does not contain personal identifiers or quasi-identifiers and relates to assay performance rather than individual-specific information."
nf-osi:PeakCallingAlgorithm,NF-OSI,Low,Describes technical analysis methods (names of peak-calling algorithms for ChIP-Seq). This is non-personal technical metadata and does not contain identifiers or sensitive participant information.
htan2:PeaksCallingSoftware,HTAN2,Low,"Name of peak-calling software is technical analysis metadata (tool used for processing sequencing data). It does not contain personal identifiers, demographic or location data and is unlikely to enable re-identification."
htan:PeaksCallingSoftware,HTAN,Low,Name of a bioinformatics tool (peak-calling software) is non-personal technical metadata about analysis methods. It does not identify individuals or reveal sensitive clinical/biological information.
btc:PerBaseNContent,BTC,Low,"This is a FASTQC QC state for the Per-base N content metric (e.g., PASS/WARN/FAIL), which is technical sequencing quality metadata and does not contain personal identifiers or sensitive contextual information."
htan:PerBaseNContent,HTAN,Low,"FASTQC per-base N content is a technical sequencing quality/state metric (QC output). It contains no personal identifiers or quasi-identifiers and relates only to file/instrument-level quality, so it is non-personal technical metadata."
btc:PerBaseSequenceContent,BTC,Low,"This is a FASTQC QC metric state (e.g., pass/warn/fail) describing per-base sequence content — a technical quality attribute of sequencing data, not personal or identifying information."
htan:PerBaseSequenceContent,HTAN,Low,"This is a technical QC metric output from FASTQC describing per-base nucleotide composition/state. It conveys sequencing quality/technical properties rather than personal identifiers or quasi-identifiers, so it is non-personal technical metadata."
